Time,Fear_Falpha,Fear_Calpha,Fear_Palpha,Happy_Falpha,Happy_Calpha,Happy_Palpha,Neutral_Falpha,Neutral_Calpha,Neutral_Palpha,Fear_Fgamma,Fear_Cgamma,Fear_Pgamma,Happy_Fgamma,Happy_Cgamma,Happy_Pgamma,Neutral_Fgamma,Neutral_Cgamma,Neutral_Pgamma,Fear_Fdelta,Fear_Cdelta,Fear_Pdelta,Happy_Fdelta,Happy_Cdelta,Happy_Pdelta,Neutral_Fdelta,Neutral_Cdelta,Neutral_Pdelta,Fear_Ftheta,Fear_Ctheta,Fear_Ptheta,Happy_Ftheta,Happy_Ctheta,Happy_Ptheta,Neutral_Ftheta,Neutral_Ctheta,Neutral_Ptheta,Fear_Fbeta,Fear_Cbeta,Fear_Pbeta,Happy_Fbeta,Happy_Cbeta,Happy_Pbeta,Neutral_Fbeta,Neutral_Cbeta,Neutral_Pbeta
11,-0.108304665793187,-0.15645454244452,-0.117059318494354,-0.0838975881530141,-0.0502044011572371,-0.0543383327573054,2.60339416898131,2.34866946824366,2.59753134654089,-0.0150389140662837,0.0164095889521645,0.0486228776502671,-0.0720640746915379,-0.0507540175836968,-0.0642039506409106,0.303993025807055,-0.3533249769755,-0.0857949911524618,-0.23909539528795,-0.0885564612338909,-0.161588999979302,-0.0991608249114367,-0.107518295880424,-0.0921043562039844,3.98553032834698,3.36407183890553,3.95519944105211,-0.211677862615971,-0.128782899486689,-0.203155981620686,-0.0381386180854634,-0.0372367556047565,-0.0201744843411245,2.71917827177351,2.20143286234477,2.72608780243211,-0.0321343110175142,-0.0419641609883214,-0.0403415896185906,-0.0840817541018994,-0.085308122718445,-0.0537254136883885,2.22503797465382,1.71582900862924,2.06176169774637
12,-0.0849969242962117,-0.115539598021536,-0.102502728126736,-0.0506883899490797,-0.000345458384693981,0.0491161033916526,2.56179113470624,2.25853334153083,2.42228291215191,-0.0097037789863552,0.0378801114421356,0.100488231128086,-0.10447562912207,-0.0676782625229683,-0.0633532991664557,0.247230815734812,-0.388188386726972,-0.118050135571334,-0.222844599501817,-0.0994183636812168,-0.232660667970679,-0.0967412075837672,-0.0487060158253659,0.080840608577542,4.00034522684215,3.32709626612241,3.85330251766203,-0.175543958071101,-0.105500364011925,-0.149346927740376,-0.0407100963760249,-0.00391134290122084,0.101893723155668,2.62500361466777,2.09351918289148,2.43681646499371,-0.0375317469909852,-0.0384689927642033,-0.0407017761464052,-0.0647723663870255,-0.0564193115177319,-0.00700962591833317,2.13634442233969,1.66563692042138,2.00755004327138
13,0.0140010002832441,-0.0122233420538931,-0.0863123781726132,-0.0812176868704536,-0.0175821999576133,-0.132315954890472,2.48638927430425,2.29270153578301,2.46409901565259,0.0964848629571606,0.0670681409101386,0.155418026976293,-0.000946409436248076,-0.0163306941069402,0.014936031079348,0.245176726207465,-0.371479612195903,-0.103588898355998,-0.0664853283694245,0.0787327627176595,0.0455951564727605,-0.173504144261359,-0.119254671061322,-0.12161411346381,4.05471085348748,3.40481900902485,3.94568525097356,-0.000522034971419208,0.0184304695789589,0.030606043613426,-0.1165310884237,-0.0874190475258597,-0.118962996305846,2.62628678025649,2.17288945822099,2.49361102178877,0.0466994738828259,0.0144017661419633,0.020393384675159,-0.0418671933899839,-0.0510033082706295,-0.0495876684626288,2.12714913136321,1.66739240301584,2.01254808644913
14,-0.0908910435966419,-0.0705818460560373,-0.0692234282090459,0.00357411401682374,-0.0146802156240363,-0.070614788639237,2.55601664486337,2.34282082668409,2.56066257640534,0.0584548852939697,0.0432619292374456,0.118726523225963,-0.051079091669193,-0.0372588720463956,-0.0105937141756123,0.297260131211274,-0.294898756377832,-0.0737240208112198,-0.210802080910433,-0.0823670954517094,-0.12683118495172,-0.201826582943308,-0.16752397984801,-0.175052746916986,4.24861744815775,3.54981188643347,4.04382861491266,-0.143891029095776,-0.110530774277353,-0.051299676264534,-0.108001364871463,-0.11822874406561,-0.110751742050212,2.67909067966454,2.17448629607512,2.52803550346053,0.0220116548424968,-0.0101613518280362,0.042871288342293,-0.0478399579599159,-0.031906213003351,-0.0202961515747888,2.16706934047955,1.71586286437215,2.07615939620212
15,-0.0392750637067536,-0.0432777753473,-0.0713802131171751,-0.0491751024270064,0.0143153373595924,-0.06874714363438,2.51806403100088,2.2835763760813,2.52346451970089,-0.0133820243960851,0.0249597702369544,0.0533004069423476,-0.0822491312508763,-0.0399847896621665,-0.0328562681538549,0.392078670052901,-0.265508426693173,-0.0445772055770643,-0.215504954014935,-0.14605917980839,-0.204951104292121,-0.301015500604775,-0.27242796273042,-0.270814353295437,4.32063749671663,3.55978858862632,4.03786392723271,-0.114406070470551,-0.0725453991891878,-0.0649021872250332,-0.1205766828332,-0.139741406076589,-0.137401841445937,2.68563894710226,2.19800399588541,2.56448501810875,-0.032642967516622,-0.0275495376270393,-0.031457329557264,-0.0500825192267783,-0.0174803573842709,-0.0191847539829302,2.23221503957667,1.77442118649688,2.10726690727214
16,-0.00534801349374325,-0.0381901505589478,-0.0616858100315823,0.0261425694651434,0.0351499258371397,-0.0588766135901777,2.55762110063609,2.35163583287675,2.57550824444161,0.0128270484159346,0.0573922970544381,0.100526174230013,0.070953673770207,0.0167332650860026,0.0514046074975964,0.470184777505187,-0.244547942024811,0.0463646665524201,-0.237976919472699,-0.148211056315206,-0.157971124997016,0.0429488358907542,0.0413757980288448,0.217169473980454,4.37966016124082,3.65333840321478,4.17791571595345,-0.0833770172694046,-0.0499445649417224,0.0020685630295987,-0.00558219276525993,0.00367557894876979,0.019600849540216,2.84094981764885,2.28756992220134,2.75801856788036,0.0145937208732484,0.00883274306257514,0.0291500048448207,0.0511958968455582,-0.000613777264796746,0.00859895543415963,2.27754120695693,1.76366518408354,2.10733269656494
17,0.0433372614813959,0.0108751980276931,0.0259974069571522,-0.0310265301900714,-0.00662720776634812,-0.0500299069989419,2.49198844983296,2.30080356396428,2.35293843954004,0.00482890718093767,0.0351262463924541,0.0862076016415211,0.0346158778673937,-0.0445782978242393,-0.0207679808983451,0.32366533835496,-0.325385166723592,-0.0486049185350744,-0.0325167595446756,-0.0235806079091302,-0.14609270635587,-0.215668668202072,-0.16426962924455,-0.136247922286946,3.73314874228151,3.21324708107069,3.76894343723005,-0.0119556493796028,-0.028819578256368,-0.0173713702180274,-0.135064616189544,-0.0591856185327789,-0.187157127467288,2.50955901912828,2.07606830216585,2.39385629307343,0.0120730566653158,-0.00261623936193311,0.0470056949033432,-0.00592031636477772,-0.0190110212304808,-0.030156926937268,2.216576349613,1.70253513487256,1.99145253497663
18,0.0230751198330717,0.0126637874476941,0.0350917322554187,0.0339081049778333,0.0358939455447134,-0.0318975095187675,2.47418459574522,2.29347651848074,2.41230641072811,-0.0092833321775932,-0.00599560273613241,0.021552217747513,-0.037231464398201,-0.0294354393236183,-0.02995678116187,0.216194304716913,-0.415783783055155,-0.130807941629447,0.0106015859185272,0.00501796738144419,-0.0404225861306637,0.0109684115191875,-0.021720790500772,0.00507248765227607,3.74570843877494,3.16580243406792,3.70030521235603,0.112663628670488,0.0866974935897381,0.140871623767504,0.0706263732398867,0.0507020419543458,0.0187426156439808,2.49465659192783,2.09645403711998,2.37244496105571,-0.00556799897473879,-0.00354005487116537,0.0237353807856235,-0.0263933967326525,-0.0420840582122075,-0.0329554902133507,2.1267234808702,1.68111927805726,1.97660061416782
19,-0.0414380752807444,0.0157389609986911,-0.0354326848977682,0.026273686368927,0.0556050339300361,0.0907801634028654,2.66137853649121,2.35801665834686,2.476199213539,0.00197707336639371,0.00773958618800582,0.00781755003285084,-0.0216333998905697,-0.00509845143909751,0.00517474538471329,0.277183386513579,-0.388076071664134,-0.0856789616273734,-0.181416458742543,-0.197753110659683,-0.142705937359119,0.0365356610836129,0.0699274296365096,0.124626778102795,4.43284220586051,3.62446888003379,3.96693610025291,-0.0676563087896091,-0.0355398968489245,-0.0634734703800495,0.100101893415724,0.0753759621208162,0.179921597889423,2.87514299298485,2.28289029309121,2.62042670739033,-0.0378437191624568,-0.0371566287891992,-0.0382189781287764,-0.0127852809926188,0.0292517070298562,0.0568560217901404,2.16857588825318,1.70648613076614,2.06328313570483
20,-0.0530341127916676,-0.022410432212554,-0.0278568607666511,-0.0192194796632669,-0.0563340471213447,-0.00708255128436929,2.58600918041077,2.30227317992731,2.42719131899446,0.026300550076063,0.013886163559946,0.00212517693289361,-0.116583292243184,-0.0591447469122214,-0.0463922915634021,0.223216265226724,-0.399636230236183,-0.0993299910842539,-0.104939700213509,-0.0951832534156592,-0.0668015864028938,-0.0844458846073335,-0.0738379928871959,-0.0245576723355294,4.23268002840791,3.47798009956534,3.96162631979438,-0.0486886594619841,-0.0280803484639363,-0.0663540676785379,-0.0632098796282879,-0.0374880896874113,-0.0202958837007409,2.72102923639204,2.18826841143254,2.54542261734468,-0.00147021413887425,-0.0025128223708702,0.0022828440571765,-0.0681319765908887,-0.0607533122852771,0.00803545881546084,2.17035110318379,1.69378722894008,2.00972469033126
21,-0.0335421491208237,0.00403325251828576,-0.0775243782150372,-0.0127856103549977,-0.018137372959769,0.0303864351496369,2.52504473837064,2.25391779144654,2.33507603487471,-0.0132180227395741,0.0218479563238929,0.0298834102502216,-0.0843976273469189,-0.00929556846036462,-0.0266066864396784,0.237480620806031,-0.361248832166049,-0.102251884053227,-0.147461486224559,-0.124415547524542,-0.139479025255308,-0.0754205745570211,-0.0446330578407699,-0.0560749763067658,4.03180893084719,3.35614338760497,3.86089262329906,-0.0886384681757316,-0.00522742244845416,-0.0993772688261109,0.0423084934206336,0.00784584357886693,0.0495594856745549,2.65919771963025,2.14583535136687,2.50097684435827,-0.0260478844669377,-0.0219267962818468,-0.0214194890038632,-0.0422797229809959,7.68652182931553e-05,0.0232176909839451,2.1795375271325,1.7042236462087,1.99197356528728
22,-0.0749539149839175,-0.0184583586966031,-0.0692168884550054,0.00284863359584981,-0.0363829960747982,-0.0118760873446866,2.48441144100852,2.2375766787519,2.38072136649121,-0.0274638421863918,0.0296163054141421,0.0288705931054846,-0.0947672267911297,-0.0278726737406825,-0.0451710843766262,0.263000313234481,-0.334759959069785,-0.0568084098536711,-0.250396629569694,-0.165485351266445,-0.159798715128585,-0.0831003708989612,-0.0353627923677395,-0.0688713031843175,4.06557745045435,3.37372727337346,3.96644765714899,-0.120472367090426,-0.0680233913834615,-0.0874044150602139,-0.0471232564875135,0.0344536957459941,-0.00602150766349155,2.65024413556063,2.14386273873496,2.54340291846717,-0.031426546231659,-0.0155812850224258,-0.0242274210761313,-0.0599126666629401,-0.0284315008141673,-0.0259570587372892,2.15112298112195,1.68032082344658,2.01512864580316
23,0.00937783837578781,-0.00139440254803052,-0.0588448277636577,0.0374624970059151,-0.0371805309224428,0.0142364013168244,2.57703442568536,2.27104605590072,2.52255659607866,-0.0867615327447566,-0.0105595393917205,-0.0134674965137224,-0.0930265284307496,-0.0354394213667922,-0.0371349382555554,0.197859541520128,-0.422519618053629,-0.144502313245518,-0.22974806257133,-0.112871106712594,-0.134361370307556,0.161052667019936,0.122926625642369,0.113113521314509,4.17200503606727,3.43963004899655,4.11012872986407,-0.126582612436155,-0.0349888142514268,-0.0775425785554639,0.0971395113625854,0.0723209878741928,0.105163785530576,2.75836163356243,2.23280881083943,2.75167770680988,-0.0291577592941352,-0.0374422356078159,-0.0493505845999245,-0.0442171129541743,-0.036242691552439,0.0074748503742004,2.17606672137142,1.69399065848725,2.07501275380876
24,0.0247753659761782,0.069267993015079,-0.0289217910373834,-0.0413361411609197,-0.0701424914511964,-0.0547343573395392,2.54359215954257,2.34192064764514,2.44063815504772,-0.145403140397743,-0.0348351282224041,-0.0399482897147595,-0.090240669760703,-0.0149179018326692,-0.0343411624747122,0.20034750730127,-0.469836617541437,-0.180080703947387,-0.251935050203805,-0.105782242856047,-0.16346247505515,0.0476149591690888,-0.0201040596602883,0.00932638600685213,3.99127602578537,3.31406683141329,3.94603230607041,-0.112405567711212,-0.0499655104406236,-0.125381011929916,-0.0270850375188206,-0.0172432951956924,0.00204592587933562,2.68462725003131,2.16643817755236,2.54585042135132,-0.0590263938889694,0.00443860927744053,-0.0298946284434288,-0.0365656890100019,-0.0287745388429334,-0.0016005078115853,2.1175923758786,1.65797997255174,1.9482287894291
25,0.0704900251552402,0.080948301841902,-0.00697516853082109,0.00814953980734035,-0.00235552639413727,0.0297398865721417,2.51209014088651,2.27169526323038,2.36669952183682,-0.146165103903847,-0.00684850808420996,-0.0173873815780401,0.0566290955259039,0.0431052509590188,0.0440213021154636,0.471446792487064,-0.320232386164972,-0.0192488134964939,-0.0448402156841724,-0.0420522438109044,-0.0229623935873565,0.0823094779063214,-0.0291941513196795,0.0339174612903841,3.78802096105299,3.25232932984173,3.77540636444533,-0.0125308497723076,0.0288802929110457,0.00671218506214656,0.00954969618255494,-0.0483685921716336,0.0382493709523638,2.5338153500753,2.08365314882647,2.44354813367789,-0.0403595598375088,0.0260985972710852,0.0219308190526002,0.00693453651213967,-0.0175638438072555,-0.0141427146428579,2.23064199481884,1.67020099026364,1.99153477016943
26,-0.0328994340272791,-0.0169048464061501,-0.0377212752857457,-0.00142560338033825,-0.01438910010029,0.0130091134540769,2.5966671680604,2.42384155568755,2.52479130622533,-0.0342048004868356,0.0378932215885115,0.0650637367912032,0.126429733787621,0.0753847397549157,0.0828911571988689,0.426805365463274,-0.359144893370383,-0.0807568174839599,-0.0954004003097961,-0.0164212165218228,-0.0879887405301927,0.042621030425651,-0.045896923101665,-0.0148987174597203,3.88001847350761,3.21939912905385,3.87206260779057,-0.0693872396347037,-0.0231287718049541,0.00947890468133176,0.0286945182840666,0.00873405550921503,0.0500937685595129,2.59121782958264,2.15455336596773,2.47002141140106,-0.0367039538557644,-0.00244120019276015,-0.00164500931026022,-0.000831339120780931,-0.0134345011066016,0.0189774782975572,2.22495505263071,1.77078710801348,2.03751615833692
27,0.00129946088451552,0.0348325291186087,-0.0539398065336206,0.0304698963227962,0.0500743393316724,-0.00574887522136769,2.52750519881599,2.3013015164245,2.44092007533702,0.0125855801552019,0.0464024611268943,0.0493954777181233,0.111263195369166,0.0618405320618108,0.048398901534726,0.284164598558912,-0.435328946671673,-0.188136343736066,-0.186672819791079,-0.129330158071389,-0.0664649386950886,-0.0548952377292507,-0.103268525136182,-0.0273014890302611,3.81259374812029,3.17162878915573,3.79154651639802,-0.262355119091174,-0.173487614667054,-0.192447966064848,0.0302989925705656,-0.00519482933274083,0.0730614403606469,2.62599276938263,2.15483305507076,2.49737647774533,-0.0172437658527509,-0.0117719135489381,-0.0261420230171693,0.0368163201717518,0.0070570441106374,-0.00489525561845987,2.14453270593997,1.67319953002865,1.91837917147917
28,-0.0135984574840526,0.00644021384358426,-0.0465593863350627,0.0659739725434685,0.0786219838800257,0.0151112194992743,2.54327862619657,2.32963892383356,2.44102549994232,-0.00655431809331542,0.0369405871350653,0.0417862749786243,0.0293338982617325,0.020622625715722,0.0046456451522725,0.25764524265951,-0.445161715499004,-0.167748245871365,-0.111512372997202,-0.081128138825328,-0.0645142264991371,-0.221345953436485,-0.147266144398972,-0.0805589539668083,3.87450173982855,3.13485658201905,3.79768460552603,-0.129650067982836,-0.0853265973830985,-0.0937136601793888,-0.0162645242476484,0.0308507375011828,0.0159223613430306,2.71164780764634,2.16616651954607,2.58312704103063,-0.00906380706817139,0.0251733966420515,-0.00464479046901336,0.0397143756691094,0.011922488390314,-0.00974718939571269,2.14291918612546,1.65227279652012,1.93984047655658
29,0.00977450048520208,-0.0202202386378447,-0.0592344853970079,0.069317187587477,0.0997016475112561,0.00633446697419145,2.56873432524375,2.30638856562374,2.43350503230506,0.08178568926519,0.0790478331052937,0.094815780203315,-0.0380160419835832,-0.0306855801638246,0.000419176469918056,0.172500648749348,-0.51380393423573,-0.216373434160488,-0.0149195577361815,-0.0928116381798022,0.0548115439753477,-0.158440746354016,-0.150623854725438,-0.153001924598239,3.80787548158982,3.17412986168073,3.69434668596976,-0.0623818975487125,-0.0769794306185185,-0.0618311938119976,-0.0216246656562527,-0.04377136306655,-0.0181121338144102,2.74865677964851,2.24066208426917,2.69449388598338,-0.0149578563962895,0.0187699668362052,-0.0275697348942993,-0.0149184252088761,0.00151164958491908,0.0144562359725231,2.11712876810443,1.60468342136283,1.89228150762094
30,-0.0274258947402367,-0.0387483395197876,-0.0945895912568916,0.161537526421719,0.21052493695348,0.0618283453571603,2.458534416882,2.22350440215786,2.32986420653242,0.0184395114964233,0.0621786781951085,0.0585844892285766,-0.0508094011335844,-0.0138727536803742,-0.0161455697121125,0.114820582065208,-0.487391679578469,-0.21718810805365,-0.288981165401886,-0.196436182998441,-0.178421761721583,-0.153409251622341,-0.160113129323831,-0.166534825130994,3.76966025255832,3.14213924069277,3.70794986893522,-0.229489654214053,-0.184634390086323,-0.220189441795647,-0.0302317509858012,-0.0241585638729525,-0.0390429263829433,2.54674191476669,2.1233359515142,2.49171067391683,0.00665001229766404,0.0517645596134727,-0.000331022446543851,0.00420384455431911,0.0199527362069318,0.00751047934878916,2.07462376510306,1.60757940059264,1.88571189198365
31,-0.00100418301043106,-0.035552375453607,-0.0914970458937129,0.0426374933365957,0.0607915870963714,-0.0484104145921062,2.42236680308616,2.18726152709464,2.29254528720679,-0.0909135801783404,-0.0385631915536107,-0.0484724258364781,-0.00221105927884033,0.00538837118013196,-0.00329797762108912,0.0254018528468807,-0.540395465661514,-0.276949899840504,-0.320411898598378,-0.208915249280301,-0.279124048496258,0.0749899061332987,0.0902123776786794,0.134666944248451,3.66377699168905,3.05446886075592,3.62886479503082,-0.20733877860688,-0.151584521150687,-0.226453719907304,0.0641725268539979,0.0496566041208867,0.10215287152044,2.46921691710203,2.04901745679485,2.40560164757148,-0.0542855792164887,-0.0359989039316375,-0.0600492832234755,-0.00423439625760606,-0.0271637274175873,-0.027792382192341,2.05750677382612,1.59434436132834,1.8692510023165
32,-0.0415262023550255,-0.0195179584947523,-0.0633406905518017,-0.0339262972247102,0.0461887493790381,-0.00045025147010409,2.49718475749786,2.30031543290582,2.41845756640913,-0.0720854329984034,-0.00411595707715462,-0.00809361012617734,0.0339980375270566,0.0265968074155579,0.0142264955218033,0.12501109330213,-0.472040827384514,-0.193125787772826,-0.353173627045468,-0.231056185050268,-0.309791304486681,-0.22791240427717,-0.156724405106567,-0.131311677500197,3.88932957684837,3.22775092045572,3.76530258175661,-0.266587025497672,-0.123593767724684,-0.20883096042333,-0.0891575689500011,0.00272509141084998,-0.0423713705861527,2.68552243485362,2.24423840967372,2.61516937038152,-0.059762400117562,-0.0129035967765304,-0.111894564105216,0.00954925965453335,0.0237730249117096,0.0312530064997039,2.09810072100457,1.62216586113458,1.92238142626044
